isoFit version: isoFit0.1
No.	T(C)	P(bars)	Xalm	Xprp	Xsps	Xgrs	Mg#	Fe#	obs_Xalm	obs_Xprp	obs_Xsps	obs_Xgrs	obs_Mg#	obs_Fe#	GrtVolCC	GrtCumulMode	blk_Si	blk_Al	blk_Fe	blk_Mg	blk_Mn	blk_Ca	blk_Na	blk_K	blk_Ti	blk_H
62	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78120000	0.099400000	0.0064000000	0.11310000	0.11287758	0.88712242	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
63	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78150000	0.10010000	0.0062000000	0.11220000	0.11354356	0.88645644	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
64	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78180000	0.10080000	0.0060000000	0.11140000	0.11420802	0.88579198	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
65	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78220000	0.10150000	0.0058000000	0.11050000	0.11485798	0.88514202	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
66	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.78650000	0.098800000	0.0045000000	0.11010000	0.11160059	0.88839941	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
67	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77670000	0.10410000	0.0052000000	0.11390000	0.11818801	0.88181199	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
68	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77710000	0.10430000	0.0048000000	0.11370000	0.11833447	0.88166553	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
69	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77750000	0.10460000	0.0044000000	0.11350000	0.11858066	0.88141934	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
70	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77790000	0.10480000	0.0040000000	0.11330000	0.11872663	0.88127337	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
71	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77830000	0.10500000	0.0036000000	0.11310000	0.11887241	0.88112759	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
72	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77730000	0.10610000	0.0031000000	0.11350000	0.12010414	0.87989586	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
73	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77630000	0.10730000	0.0026000000	0.11380000	0.12143504	0.87856496	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
74	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77560000	0.11060000	0.0025000000	0.11140000	0.12480253	0.87519747	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
75	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77490000	0.11390000	0.0023000000	0.10900000	0.12815032	0.87184968	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
76	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.77230000	0.11580000	0.0023000000	0.10960000	0.13039072	0.86960928	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
77	459.70210000	13763.80000000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.76970000	0.11770000	0.0023000000	0.11020000	0.13263466	0.86736534	0.0000000000	2.088455497	49.1725480	23.9883670	3.76023740	2.35259920	0.00643817720	0.173273500	2.25000000	6.13000000	0.820000000	60.0000000
